unique_items,total_purchase_quantity,total_return_quantity,net_quantity,uniq_departments,departments_with_returns
1,0,1,-1,1,1
2,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,3,0,3,2,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,1,1,0,1,1
2,2,0,2,1,0
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,4,-4,1,1
2,2,0,2,1,0
2,2,0,2,1,0
2,2,0,2,1,0
2,2,0,2,1,0
2,0,2,-2,2,2
4,2,2,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,1,2,-1,2,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,2,-1,2,1
1,1,1,0,1,1
1,1,0,1,1,0
2,0,2,-2,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
3,4,0,4,2,0
1,1,0,1,1,0
2,0,2,-2,1,1
1,0,1,-1,1,1
2,1,1,0,1,1
1,0,1,-1,1,1
3,0,3,-3,3,3
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,2,0
2,2,0,2,2,0
2,6,1,5,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,1,0,1,1,0
2,1,1,0,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,1,1,0,1,1
2,2,0,2,1,0
3,2,1,1,2,1
1,0,1,-1,1,1
3,3,3,0,2,2
1,0,1,-1,1,1
2,2,1,1,1,1
7,10,1,9,5,1
2,0,4,-4,2,2
5,1,10,-9,2,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
2,1,1,0,1,1
4,0,4,-4,1,1
3,4,0,4,2,0
2,6,0,6,2,0
1,0,1,-1,1,1
1,2,2,0,1,1
2,1,1,0,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
2,2,0,2,1,0
2,2,0,2,1,0
2,2,0,2,1,0
1,0,1,-1,1,1
